iter	Passed	Remaining
414	1622	2287
415	1624	2281
416	1626	2274
417	1628	2267
418	1630	2261
419	1633	2255
420	1635	2248
421	1637	2242
422	1639	2235
423	1641	2229
424	1643	2223
425	1645	2216
426	1647	2210
427	1649	2204
428	1651	2198
429	1653	2191
430	1655	2185
431	1657	2179
432	1659	2172
433	1661	2166
434	1663	2160
435	1665	2154
436	1668	2149
437	1670	2143
438	1672	2137
439	1675	2131
440	1677	2126
441	1679	2120
442	1681	2114
443	1684	2108
444	1686	2103
445	1688	2097
446	1691	2092
447	1693	2086
448	1696	2081
449	1698	2075
450	1700	2070
451	1703	2064
452	1705	2059
453	1707	2053
454	1709	2048
455	1712	2042
456	1714	2037
457	1717	2031
458	1719	2026
459	1721	2021
460	1724	2015
461	1726	2010
462	1728	2004
463	1731	1999
464	1733	1994
465	1735	1988
466	1737	1983
467	1740	1978
468	1742	1972
469	1744	1967
470	1747	1962
471	1749	1956
472	1751	1951
473	1754	1946
474	1756	1941
475	1758	1936
476	1761	1931
477	1763	1925
478	1765	1920
479	1768	1915
480	1770	1910
481	1772	1904
482	1774	1899
483	1777	1894
484	1779	1889
485	1781	1884
486	1783	1878
487	1786	1873
488	1788	1868
489	1790	1863
490	1792	1858
491	1795	1853
492	1797	1848
493	1799	1843
494	1801	1838
495	1804	1833
496	1806	1828
497	1808	1823
498	1811	1818
499	1813	1813
500	1816	1809
501	1818	1804
502	1820	1799
503	1823	1794
504	1825	1788
505	1827	1783
506	1829	1778
507	1831	1773
508	1833	1768
509	1835	1763
510	1838	1758
511	1840	1753
512	1842	1748
513	1844	1743
514	1846	1738
515	1848	1733
516	1850	1728
517	1852	1723
518	1854	1718
519	1856	1714
520	1859	1709
521	1861	1704
522	1863	1699
523	1865	1695
524	1868	1690
525	1870	1685
526	1872	1680
527	1874	1675
528	1876	1671
529	1879	1666
530	1881	1661
531	1883	1656
532	1885	1652
533	1887	1647
534	1889	1642
535	1892	1637
536	1894	1633
537	1896	1628
538	1898	1624
539	1901	1619
540	1903	1614
541	1905	1610
542	1907	1605
543	1909	1600
544	1911	1596
545	1913	1591
546	1916	1586
547	1918	1582
548	1920	1577
549	1922	1573
550	1924	1568
551	1927	1563
552	1929	1559
553	1931	1555
554	1933	1550
555	1935	1545
556	1938	1541
557	1940	1536
558	1942	1532
559	1944	1527
560	1946	1523
561	1949	1519
562	1951	1514
563	1954	1510
564	1956	1506
565	1958	1501
566	1961	1497
567	1963	1493
568	1965	1489
569	1968	1484
570	1970	1480
571	1972	1475
572	1974	1471
573	1976	1467
574	1979	1462
575	1981	1458
576	1983	1454
577	1985	1449
578	1988	1445
579	1990	1441
580	1992	1437
581	1995	1433
582	1997	1428
583	1999	1424
584	2002	1420
585	2004	1415
586	2006	1411
587	2008	1407
588	2010	1403
589	2012	1398
590	2015	1394
591	2017	1390
592	2019	1386
593	2021	1381
594	2023	1377
595	2026	1373
596	2028	1369
597	2030	1365
598	2032	1360
599	2035	1356
600	2037	1352
601	2039	1348
602	2041	1344
603	2043	1339
604	2045	1335
605	2048	1331
606	2050	1327
607	2052	1323
608	2054	1319
609	2056	1314
610	2058	1310
611	2061	1306
612	2063	1302
613	2065	1298
614	2067	1294
615	2069	1290
616	2071	1286
617	2074	1282
618	2076	1277
619	2078	1274
620	2081	1270
621	2083	1266
622	2086	1262
623	2088	1258
624	2090	1254
625	2093	1250
626	2095	1246
627	2098	1242
628	2100	1238
629	2102	1235
630	2105	1231
631	2107	1226
632	2109	1223
633	2111	1218
634	2113	1214
635	2115	1210
636	2118	1207
637	2120	1203
638	2122	1199
639	2124	1195
640	2127	1191
641	2129	1187
642	2131	1183
643	2133	1179
644	2136	1175
645	2138	1171
646	2140	1167
647	2142	1164
648	2145	1160
649	2147	1156
650	2149	1152
651	2151	1148
652	2153	1144
653	2156	1140
654	2158	1136
655	2160	1133
656	2163	1129
657	2165	1125
658	2167	1121
659	2169	1117
660	2172	1113
661	2174	1110
662	2176	1106
663	2178	1102
664	2180	1098
665	2182	1094
666	2185	1090
667	2187	1087
668	2189	1083
669	2191	1079
670	2194	1075
671	2196	1071
672	2198	1068
673	2200	1064
674	2202	1060
675	2205	1056
676	2207	1053
677	2209	1049
678	2211	1045
679	2213	1041
680	2216	1038
681	2218	1034
682	2220	1030
683	2222	1026
684	2225	1023
685	2227	1019
686	2229	1015
687	2231	1012
688	2234	1008
689	2236	1004
690	2238	1000
691	2240	997
692	2242	993
693	2245	989
694	2247	986
695	2249	982
696	2251	978
697	2253	975
698	2256	971
699	2258	967
700	2260	964
701	2262	960
702	2264	956
703	2267	953
704	2269	949
705	2271	945
706	2273	942
707	2275	938
708	2278	935
709	2280	931
710	2282	927
711	2284	924
712	2286	920
713	2290	917
714	2292	913
715	2294	910
716	2297	906
717	2299	903
718	2301	899
719	2303	895
720	2306	892
721	2308	888
722	2311	885
723	2313	882
724	2316	878
725	2318	875
726	2321	871
727	2324	868
728	2326	864
729	2329	861
730	2331	857
731	2333	854
732	2336	851
733	2338	847
734	2341	844
735	2343	840
736	2346	837
737	2349	833
738	2351	830
739	2354	827
740	2356	823
741	2358	820
742	2361	816
743	2363	813
744	2366	809
745	2368	806
746	2371	803
747	2373	799
748	2375	796
749	2378	792
750	2380	789
751	2383	786
752	2385	782
753	2388	779
754	2391	775
755	2393	772
756	2396	769
757	2398	765
758	2401	762
759	2403	759
760	2406	755
761	2408	752
762	2411	748
763	2413	745
764	2415	742
765	2418	738
766	2420	735
767	2423	732
768	2425	728
769	2428	725
770	2430	722
771	2433	718
772	2435	715
773	2437	711
774	2440	708
775	2442	705
776	2444	701
777	2447	698
778	2449	694
779	2452	691
780	2454	688
781	2456	684
782	2458	681
783	2461	678
784	2463	674
785	2466	671
786	2468	668
787	2470	664
788	2473	661
789	2475	657
790	2477	654
791	2479	651
792	2481	647
793	2484	644
794	2486	641
795	2488	637
796	2490	634
797	2492	630
798	2494	627
799	2496	624
800	2498	620
801	2500	617
802	2502	614
803	2505	610
804	2507	607
805	2509	603
806	2511	600
807	2512	597
808	2515	593
809	2517	590
810	2519	587
811	2521	583
812	2523	580
813	2525	577
814	2527	573
815	2529	570
816	2531	567
817	2533	563
818	2535	560
819	2537	557
820	2539	553
821	2541	550
822	2543	547
823	2545	543
824	2547	540
825	2549	537
826	2551	533
827	2553	530
828	2555	527
829	2557	523
830	2559	520
831	2561	517
832	2563	514
833	2566	510
834	2568	507
835	2570	504
836	2572	501
837	2574	497
838	2576	494
839	2578	491
840	2580	487
841	2582	484
842	2584	481
843	2586	478
