iter	RMSE
140	25.1289164
141	25.11336032
142	25.09771091
143	25.06942374
144	25.03813854
145	25.01846715
146	25.00348732
147	24.99063737
148	24.9703871
149	24.96301048
150	24.94851192
151	24.93594224
152	24.92091075
153	24.899937
154	24.88542813
155	24.87149352
156	24.83249779
157	24.81817777
158	24.80396563
159	24.79098209
160	24.77709463
161	24.75619091
162	24.73685743
163	24.72557708
164	24.71376616
165	24.69204958
166	24.67784628
167	24.66496589
168	24.65340529
169	24.6418964
170	24.62916937
171	24.61732649
172	24.59867088
173	24.58323969
174	24.56991854
175	24.55699266
176	24.54429893
177	24.52839674
178	24.51688529
179	24.50442587
180	24.492905
181	24.47686231
182	24.46616536
183	24.45442507
184	24.43479313
185	24.41880096
186	24.4081839
187	24.39602026
188	24.38428209
189	24.36013252
190	24.34946476
191	24.29247796
192	24.2801202
193	24.26810126
194	24.25853288
195	24.24729219
196	24.23608617
197	24.22630171
198	24.21629528
199	24.20513333
200	24.19558278
201	24.17787752
202	24.16760097
203	24.15937719
204	24.14355545
205	24.127299
206	24.11799101
207	24.10810734
208	24.09919107
209	24.08602019
210	24.07652677
211	24.06903561
212	24.05984996
213	24.05022793
214	24.03178972
215	24.01527336
216	24.00616742
217	23.99849699
218	23.98477121
219	23.97527525
220	23.96088177
221	23.94685409
222	23.93952978
223	23.93270009
224	23.92441084
225	23.91648831
226	23.91001934
227	23.89775434
228	23.87069256
229	23.86026961
230	23.85186127
231	23.83866655
232	23.83091877
233	23.82346945
234	23.8154495
235	23.80646179
236	23.79961671
237	23.78694568
238	23.78083974
239	23.7725596
240	23.76640074
241	23.7596226
242	23.75005703
243	23.741714
244	23.7356566
245	23.72724033
246	23.7204277
247	23.71151011
248	23.70490435
249	23.69911153
250	23.68539055
251	23.67986227
252	23.67510548
253	23.67009633
254	23.66380375
255	23.65703569
256	23.6490101
257	23.64232931
258	23.62925485
259	23.62333935
260	23.61706324
261	23.61091861
262	23.6021939
263	23.5906118
264	23.58604042
265	23.58093842
266	23.56319087
267	23.55340705
268	23.54419615
269	23.5273071
270	23.52084302
271	23.51618729
272	23.51004663
273	23.50194756
274	23.49692229
275	23.49131555
276	23.48349751
277	23.47748775
278	23.46553179
279	23.459745
280	23.45509763
281	23.44900651
282	23.43252408
283	23.42695392
284	23.42155075
285	23.41642082
286	23.40498684
287	23.40048043
288	23.3918969
289	23.38660743
290	23.38105979
291	23.37268427
292	23.36691414
293	23.36124024
294	23.35311991
295	23.34509983
296	23.34129022
297	23.33598109
298	23.33071055
299	23.32460389
300	23.30278537
301	23.29389881
302	23.29099647
303	23.28370447
304	23.27863969
305	23.2683764
306	23.26337273
307	23.2591726
308	23.25397093
309	23.24881271
310	23.24622109
311	23.22852825
312	23.22450074
313	23.20771784
314	23.2014046
315	23.19498577
316	23.19200514
317	23.18726164
318	23.16969566
319	23.16497489
320	23.15858809
321	23.15642625
322	23.1522101
323	23.14797266
324	23.13942605
325	23.13521188
326	23.12931162
327	23.12693638
328	23.11335614
329	23.10231309
330	23.09583005
331	23.08588802
332	23.08106093
333	23.07500151
334	23.06990853
335	23.05249529
336	23.04270528
337	23.03845712
338	23.03373722
339	23.01425198
340	23.00974062
341	23.0057349
342	22.99978061
343	22.99027474
344	22.98560327
345	22.97810491
346	22.9739052
347	22.97002087
348	22.96376054
349	22.9555837
350	22.95283682
351	22.95054965
352	22.94631875
353	22.94231212
354	22.9375378
355	22.93387538
356	22.9302542
357	22.92472829
358	22.92231284
359	22.91798777
360	22.9136614
361	22.91146636
362	22.89940067
363	22.89374552
364	22.88998343
365	22.88244637
366	22.87826742
367	22.87445944
368	22.8699684
369	22.8573269
370	22.85229811
371	22.84887929
372	22.84555807
373	22.8384963
374	22.83449644
375	22.83106734
376	22.82366543
377	22.8202843
378	22.81706314
379	22.81306283
380	22.81037123
381	22.80836622
382	22.8044038
383	22.79758556
384	22.78666594
385	22.78418974
386	22.78017451
387	22.77701719
388	22.7704869
389	22.76466321
390	22.75958256
391	22.74434615
392	22.74113687
393	22.73543095
394	22.72637512
395	22.72274164
396	22.71917347
397	22.71523937
398	22.71236871
399	22.71081518
400	22.69963898
401	22.69583171
402	22.69147803
403	22.68802786
404	22.68192139
405	22.68002507
406	22.67489013
407	22.67163193
408	22.66545612
409	22.66190396
410	22.65420625
411	22.6308876
412	22.62815165
413	22.62301831
414	22.61773351
415	22.61107477
416	22.60922102
417	22.60535102
418	22.58968135
419	22.5833982
420	22.57997695
421	22.57307679
422	22.57028444
423	22.56633799
424	22.56088065
425	22.55775211
426	22.54369617
427	22.51877402
428	22.51099612
429	22.50650927
430	22.50294288
431	22.4956488
432	22.49210547
433	22.49036604
434	22.48742657
435	22.48361584
436	22.48056793
437	22.47218577
438	22.46924006
439	22.46177812
440	22.45989018
441	22.45511928
442	22.45175974
443	22.4483141
444	22.44247932
445	22.43978495
446	22.43461401
447	22.43025973
448	22.42648662
449	22.42360079
450	22.41858787
451	22.41608066
452	22.41313309
453	22.41049723
454	22.40738895
455	22.40551856
456	22.403549
457	22.39862191
458	22.39168995
459	22.38889865
460	22.38497669
461	22.38156542
462	22.37626235
463	22.37447583
464	22.36914788
465	22.35324572
466	22.35022913
467	22.34424149
468	22.33940236
469	22.3359644
470	22.3321395
471	22.32548902
472	22.32225509
473	22.3178954
474	22.31536344
475	22.31231188
476	22.30513096
477	22.30201088
478	22.30010447
479	22.29717299
480	22.29418735
481	22.29125551
482	22.28868752
483	22.28512931
484	22.28344146
485	22.2560263
486	22.25131027
487	22.23557781
488	22.23267853
489	22.22427255
490	22.22122028
491	22.21923226
492	22.21146511
493	22.20889265
494	22.20560276
495	22.19431913
496	22.19088658
497	22.18832252
498	22.17571378
499	22.17302373
500	22.16951333
501	22.16689237
502	22.16109442
503	22.15888155
504	22.15596119
505	22.15153152
506	22.14175847
507	22.13958048
508	22.1316151
509	22.12882514
510	22.11421001
511	22.11160404
512	22.10941298
513	22.10665777
514	22.10509047
515	22.09113401
516	22.08863854
517	22.08480515
518	22.08297853
519	22.07924965
520	22.07557396
521	22.07280994
522	22.06634558
523	22.063682
524	22.06233094
525	22.04998887
526	22.04563095
527	22.04278653
528	22.04029364
529	22.03472634
530	22.02928315
531	22.02741337
532	22.02137895
533	22.02026685
534	22.01285864
535	22.01049419
536	22.00063451
537	21.99832107
538	21.99544604
539	21.99315193
540	21.9892494
541	21.98772035
542	21.98460866
543	21.98333883
544	21.97963598
545	21.97741203
546	21.97253217
547	21.97071834
548	21.96806955
549	21.9575204
550	21.95351175
551	21.95145238
552	21.94844078
553	21.94441728
554	21.9368527
555	21.93036907
556	21.92842147
557	21.92617925
558	21.91367653
559	21.90448144
560	21.90120736
561	21.89690149
562	21.89258176
563	21.89029907
564	21.88685178
565	21.88442739
566	21.88280852
567	21.88041304
568	21.87763698
569	21.87592833
570	21.86329294
571	21.86036828
572	21.84865012
573	21.84244475
574	21.84006061
575	21.83675577
576	21.8346043
577	21.83233844
578	21.83031141
579	21.82836893
580	21.81276177
581	21.81068434
582	21.80917402
583	21.78988717
584	21.78805419
585	21.78557296
586	21.782188
587	21.77621848
588	21.77408325
589	21.7677991
590	21.76227195
591	21.75920324
592	21.75738629
593	21.75485983
594	21.74910018
595	21.74750396
596	21.74508536
597	21.73922772
598	21.73745363
599	21.73417211
600	21.72783408
601	21.72568382
602	21.72365919
603	21.72245675
604	21.71083357
605	21.70875274
606	21.70337533
607	21.70039657
608	21.6982951
609	21.69651246
610	21.68822024
611	21.68623305
612	21.68386065
613	21.68132359
614	21.67882376
615	21.67361361
616	21.67247345
617	21.67003451
618	21.66491214
619	21.66153829
620	21.65838974
621	21.65238342
622	21.64844544
623	21.64562054
624	21.64411755
625	21.63925048
626	21.63403713
627	21.62290325
628	21.62083618
629	21.61840832
630	21.61523945
631	21.61312804
632	21.60789337
633	21.6066816
634	21.60407806
635	21.60297978
636	21.59773297
637	21.59198949
638	21.58900544
639	21.58703472
640	21.58227609
641	21.58056788
642	21.5785457
643	21.5766936
644	21.57408723
645	21.57210998
646	21.56996954
647	21.56825823
648	21.56689208
649	21.56489812
650	21.55918984
651	21.55772795
652	21.55285919
653	21.55149145
654	21.54866418
655	21.53478769
656	21.53335294
657	21.53082613
658	21.52886241
659	21.52760827
660	21.51130504
661	21.50960463
662	21.50800431
663	21.49900314
664	21.49711322
665	21.4955576
666	21.49333107
667	21.49125485
668	21.48825186
669	21.47919538
670	21.47728023
671	21.47383195
672	21.47003892
673	21.46877796
674	21.46345264
675	21.46121745
676	21.45923362
677	21.45783358
678	21.45552617
679	21.45282848
680	21.4483468
681	21.44499821
682	21.44317746
683	21.44158502
684	21.43932721
685	21.437278
686	21.43590784
687	21.43387176
688	21.42582036
689	21.42443059
690	21.42194087
691	21.41688886
692	21.41516275
693	21.41210357
694	21.41049184
695	21.40776964
696	21.40346238
697	21.39661831
698	21.3939316
699	21.39190072
700	21.39050727
701	21.3839226
702	21.3772066
703	21.3729091
704	21.36731741
705	21.36454294
706	21.35546039
707	21.35436357
708	21.35300515
709	21.35117415
710	21.34655904
711	21.34381396
712	21.33535804
713	21.32914927
714	21.32753488
715	21.3263198
716	21.32402423
717	21.32110565
718	21.31803332
719	21.31656659
720	21.3138787
721	21.31256367
722	21.31089918
723	21.30937951
724	21.3070031
725	21.30073095
726	21.29861722
727	21.29599366
728	21.29396739
729	21.29236063
730	21.29088141
731	21.28971834
732	21.28866758
733	21.28582937
734	21.28416028
735	21.28171245
736	21.28019378
737	21.27908753
738	21.27801042
739	21.27440252
740	21.27326424
741	21.27199149
742	21.27064197
743	21.26893143
744	21.26662911
745	21.25416541
746	21.25248045
747	21.24970933
748	21.24846205
749	21.24507322
750	21.24256537
751	21.2416153
752	21.24059572
753	21.23832629
754	21.23585518
755	21.23452
756	21.22933131
757	21.2249105
758	21.2175952
759	21.21611654
760	21.21439052
761	21.20894699
762	21.20740834
763	21.20497222
764	21.20340669
765	21.20027905
766	21.19882368
767	21.1960948
768	21.19531749
769	21.18590044
770	21.18337211
771	21.18209374
772	21.17727394
773	21.17495012
774	21.16897849
775	21.16719123
776	21.16509019
777	21.16320684
778	21.15986646
779	21.15399151
780	21.15316762
781	21.15159439
782	21.14731344
783	21.14524053
784	21.14374182
785	21.14148684
786	21.14026256
787	21.13854493
788	21.13637708
789	21.13565406
790	21.13188859
791	21.13103239
792	21.12707871
793	21.12322484
794	21.12152705
795	21.11833
796	21.11694834
797	21.11574085
798	21.113077
799	21.11192092
800	21.11016257
801	21.10768408
802	21.1063809
803	21.10205608
804	21.10067472
805	21.09822419
806	21.09708771
807	21.09586812
808	21.09380398
809	21.09202417
810	21.0906557
811	21.08929985
812	21.08768673
813	21.08438563
814	21.07987966
815	21.0760544
816	21.07516096
817	21.07155477
818	21.06871569
819	21.06676449
820	21.06462411
821	21.06335298
822	21.0561511
823	21.05385359
824	21.05329042
825	21.03939201
826	21.03829324
827	21.03622196
828	21.03500734
829	21.03208922
830	21.03092878
831	21.02909551
832	21.02759903
833	21.0226564
834	21.02113935
835	21.01862519
836	21.0108443
837	21.0101611
838	21.00716583
839	21.00496072
840	21.00379547
841	21.0006632
842	20.99920757
843	20.99841522
844	20.99772622
845	20.98946936
846	20.9858983
847	20.98441143
848	20.98279121
849	20.98212981
850	20.98147849
851	20.97801748
852	20.97670265
853	20.9732544
854	20.97199114
855	20.96887018
856	20.96115061
857	20.96065225
858	20.95872244
859	20.95680542
860	20.95548057
861	20.95344664
862	20.95233797
863	20.94691599
864	20.9455462
865	20.94160271
866	20.93854056
867	20.93788279
868	20.93537507
869	20.93263618
870	20.931758
871	20.92842449
872	20.92405379
873	20.92217421
874	20.92113886
875	20.92006546
876	20.91894991
877	20.913421
878	20.90334741
879	20.89781482
880	20.89592931
881	20.89530763
882	20.89366389
883	20.89282577
884	20.88991733
885	20.88760097
886	20.88701517
887	20.88651818
888	20.88351339
889	20.881525
890	20.87954387
891	20.8789943
892	20.87856512
893	20.87713334
894	20.87196922
895	20.86561995
896	20.86447255
897	20.86321899
898	20.86270795
899	20.85910556
900	20.85676406
901	20.85546967
902	20.85000678
903	20.84812092
904	20.84709747
905	20.84650157
906	20.84552434
907	20.84213961
908	20.83925961
909	20.83211615
910	20.83125839
911	20.82989721
912	20.82896452
913	20.82685165
914	20.82214883
915	20.81876957
916	20.81724966
917	20.81596342
918	20.813538
919	20.80553633
920	20.80057211
921	20.79958968
922	20.79706908
923	20.79604805
924	20.78891601
925	20.78536422
926	20.78485521
927	20.78400122
928	20.78184358
929	20.78036749
930	20.77984987
931	20.77717799
932	20.7750188
933	20.7738578
934	20.77283687
935	20.77163611
936	20.77110075
937	20.76976408
938	20.76700585
939	20.76568543
940	20.764389
941	20.76260241
942	20.75415998
943	20.75328056
944	20.75216825
945	20.7490144
946	20.74707292
947	20.74606077
948	20.74475929
949	20.74351077
950	20.74028483
951	20.73941566
952	20.73755576
953	20.73520221
954	20.73402034
955	20.73120004
956	20.73019886
957	20.72910586
958	20.72836871
959	20.72733539
960	20.72173148
961	20.72070985
962	20.71714226
963	20.7159544
964	20.71448764
965	20.71142791
966	20.71052961
967	20.70905228
968	20.70840255
969	20.7079811
970	20.70568424
971	20.70195741
972	20.70016867
973	20.69892443
974	20.69659812
975	20.6940073
976	20.69088671
977	20.68845214
978	20.68625165
979	20.6843722
980	20.68266881
981	20.68195243
982	20.68103445
983	20.67776413
984	20.67404875
985	20.67296814
986	20.67244489
987	20.67039363
988	20.66835286
989	20.66553504
990	20.66374499
991	20.66254759
992	20.66169066
993	20.6602555
994	20.6589939
995	20.65719247
996	20.65647554
997	20.64486983
998	20.64312666
999	20.64166553
