iter	RMSE
0	55.4318331
1	53.66630824
2	52.00375664
3	50.43285133
4	48.93406899
5	47.56752997
6	46.222084
7	44.94817206
8	43.78884314
9	42.73362032
10	41.72209872
11	40.78487051
12	39.90405073
13	39.06144559
14	38.26329894
15	37.58725852
16	36.96767949
17	36.32505302
18	35.76742494
19	35.28583653
20	34.72614139
21	34.28282926
22	33.83789673
23	33.34650736
24	32.9209223
25	32.52991984
26	32.22585854
27	31.92029731
28	31.57565222
29	31.28015806
30	31.04417764
31	30.74098906
32	30.51701442
33	30.32707699
34	30.11976085
35	29.97018555
36	29.7646471
37	29.57839985
38	29.43977119
39	29.29961731
40	29.14718838
41	28.9920653
42	28.90144982
43	28.76813679
44	28.65395801
45	28.52517096
46	28.42190012
47	28.31116499
48	28.23283486
49	28.13290402
50	28.02860116
51	27.94512731
52	27.8570967
53	27.76960164
54	27.68907111
55	27.63356383
56	27.56701143
57	27.50403725
58	27.45620216
59	27.39591702
60	27.33660702
61	27.28063423
62	27.22368259
63	27.16169435
64	27.11674351
65	27.07851454
66	27.04061181
67	27.00186902
68	26.96099335
69	26.91760137
70	26.87571812
71	26.83142641
72	26.80296111
73	26.75752778
74	26.71769941
75	26.6748017
76	26.64483753
77	26.60906506
78	26.57534543
79	26.53197791
80	26.50319693
81	26.47474107
82	26.44977723
83	26.41769526
84	26.38016382
85	26.35675442
86	26.32698618
87	26.30168328
88	26.27661765
89	26.25293279
90	26.218148
91	26.19444894
92	26.16419336
93	26.13119994
94	26.1075631
95	26.07893461
96	26.05640585
97	26.03270174
98	25.9971453
99	25.96994755
100	25.94770379
101	25.91217041
102	25.89301568
103	25.87325012
104	25.84966652
105	25.82053814
106	25.80228819
107	25.77917875
108	25.7576692
109	25.72789483
110	25.71488399
111	25.70415353
112	25.6839168
113	25.64700434
114	25.6275622
115	25.61226775
116	25.60177878
117	25.58061176
118	25.55461618
119	25.53117512
120	25.50129603
121	25.47451319
122	25.44486857
123	25.42595049
124	25.40082276
125	25.38742955
126	25.37343475
127	25.35769133
128	25.3457513
129	25.34155636
130	25.32152446
131	25.30263156
132	25.28217094
133	25.26702129
134	25.24988081
135	25.23518576
136	25.21907487
137	25.20454524
138	25.18053885
139	25.14541709
